Role;Stack;contributions;pullRequests;commits;reviews;total_interactions
Engineer;FE;0;0;0;0;0
Manager;N/A;2;0;0;2;4
Manager;N/A;15;0;0;15;30
Manager;N/A;147;0;0;147;294
Manager;N/A;8;1;1;6;16
Manager;N/A;11;2;2;7;22
Manager;N/A;8;3;2;3;16
Manager;N/A;20;6;3;11;40
Lead;BE;42;10;29;3;84
Engineer;FE;126;19;42;65;252
Lead;DS;183;19;39;125;366
Engineer;QA;225;32;116;77;450
Engineer;BE;141;40;63;38;282
Engineer;BE;117;41;55;21;234
Engineer;BE;152;41;50;61;304
Engineer;DS;218;43;127;48;436
Lead;BE;236;47;64;125;472
Engineer;BE;407;47;142;218;814
Engineer;DS;328;48;186;94;656
Engineer;DS;348;49;86;213;696
Engineer;QA;474;50;398;26;948
Engineer;BE;162;52;61;49;324
Engineer;BE;291;60;213;18;582
Engineer;QA;365;61;236;68;730
Engineer;DS;268;64;93;111;536
Engineer;DS;163;67;64;32;326
Engineer;BE;321;67;98;156;642
Engineer;BE;264;69;73;122;528
Lead;BE;321;70;151;100;642
Engineer;BE;269;72;79;118;538
Lead;BE;342;81;141;120;684
Engineer;BE;497;82;201;214;994
Engineer;DS;580;82;330;168;1160
Engineer;FE;275;84;89;102;550
Engineer;BE;414;85;176;153;828
Engineer;BE;356;87;139;130;712
Engineer;BE;361;87;206;68;722
Engineer;BE;454;96;145;213;908
Engineer;BE;323;98;136;89;646
Engineer;BE;435;103;142;190;870
Engineer;BE;527;121;146;260;1054
Lead;BE;739;128;247;364;1478
Engineer;FE;491;141;219;131;982
Engineer;FE;659;150;223;286;1318
Lead;BE;730;150;304;276;1460
Engineer;FE;529;152;217;160;1058
Engineer;BE;766;164;228;374;1532
Engineer;BE;761;170;171;420;1522
Engineer;BE;741;187;185;369;1482
Engineer;BE;857;187;419;251;1714
Engineer;BE;845;208;325;312;1690
Engineer;BE;683;222;223;238;1366
Engineer;BE;1099;252;249;598;2198
Engineer;QA;1583;257;299;1027;3166
Engineer;QA;698;294;307;97;1396
Engineer;BE;1037;324;466;247;2074
Engineer;BE;1209;329;324;556;2418
